"Código de departamentos","Población total (en hogares familiares).","Población de 0 a 17 años.","Población de 0 a 3 años.","Población de 4 a 5 años.","Población de 6 a 12 años.","Población de 13 a 17 años.","Población de 18 años y más.","Población de 18 a 29 años.","Población de 30 a 54 años.","Población de 55 a 69 años.","Población de 70 años y más.","Total de mujeres (en hogares familiares).","Mujeres de 0 a 17 años.","Mujeres de 0 a 3 años.","Mujeres de 4 a 5 años.","Mujeres de 6 a 12 años.","Mujeres de 13 a 17 años.","Mujeres de 18 años y más.","Mujeres de 18 a 29 años.","Mujeres de 30 a 54 años.","Mujeres de 55 a 69 años.","Mujeres de 70 años y más.","Total de varones (en hogares familiares).","Varones de 0 a 17 años.","Varones de 0 a 3 años.","Varones de 4 a 5 años.","Varones de 6 a 12 años.","Varones de 13 a 17 años.","Varones de 18 años y más.","Varones de 18 a 29 años.","Varones de 30 a 54 años.","Varones de 55 a 69 años.","Varones de 70 años y más.","Niños de 0 a 3 años que asisten a jardín maternal","Obra social o prepaga (incluye PAMI)","Programas o planes estatales de salud","Solo salud pública","Personas que reciben jubilación (65 años y más)","Personas que reciben pensión (65 años y más)","Personas que reciben jubilación o pensión (65 años y más)","Personas que cobran pensión no contributiva","Población de 65 años y más","Población de 18 y más con primaria incompleta o menos","Población de 18 y más con primaria completa o más","Población de 18 y más con secundaria completa o más","Población de 18 y más con primaria completa sin secundario completo","Población de 18 y más con secundaria completa sin superior completo","Población de 18 y más con terciario completo sin universitario completo","Población de 18 y más con universitario completo o más","Niños de 4 y 5 años que asisten a jardín","Población de 6 a 12 que asiste","Población de 13 a 17 sin secundaria completa que asiste","Población de 13 a 17 sin secundaria completa","Población de 18 a 29 sin secundaria completa que asiste","Población de 18 a 29 sin secundaria completa","Población de 14 a 25 años sin secundario completo o más que asiste","Población de 14 a 25 años sin secundario completo","Población de 14 a 25 años","Código de provincia","Nombre de provincia","Código de departamento","Nombre de departamento","Población total","Total de hogares","Latitud del centroide","Longitud del centroide","Superficie en km2"
"06274",488103,152896,27871,16792,64455,43778,335207,99087,160257,51203,24660,249381,75472,13809,8276,31814,21573,173909,49845,82292,27207,14565,238722,77424,14062,8516,32641,22205,161298,49242,77965,23996,10095,5932,237275,14846,235982,32133,7078,33144,21972,38701,43444,291763,150363,141400,127357,13706,9300,15133,62504,40033,43227,11803,42314,41269,62828,101299,"06","Buenos Aires","06274","Florencio Varela",488103,146253,-34.877785,-58.258719,190.26925109407
"06371",444503,105482,17177,10861,44539,32905,339021,77192,153825,64287,43717,232456,52141,8390,5401,21945,16405,180315,38950,79452,34845,27068,212047,53341,8787,5460,22594,16500,158706,38242,74373,29442,16649,7301,294230,10395,139878,55694,14791,56982,13410,63232,28642,310379,191242,119137,142416,24411,24415,10482,43446,30523,32473,7937,26516,30922,43692,77486,"06","Buenos Aires","06371","General San Martín",444503,161480,-34.552848,-58.564062,56.49799449347
"06408",185361,44398,7021,4599,18866,13912,140963,32615,62971,27257,18120,96371,21795,3478,2270,9243,6804,74576,16311,32285,14980,11000,88990,22603,3543,2329,9623,7108,66387,16304,30686,12277,7120,2818,122415,3834,59112,23434,5776,23988,6120,26481,11305,129658,78466,51192,60331,8992,9143,4454,18480,13070,13722,3471,10724,13520,18244,33174,"06","Buenos Aires","06408","Hurlingham",185361,63547,-34.59949,-58.649325,34.894237108385
"06410",177983,41739,6379,4328,17692,13340,136244,29115,62321,27251,17557,92829,20572,3198,2110,8740,6524,72257,14552,32282,14721,10702,85154,21167,3181,2218,8952,6816,63987,14563,30039,12530,6855,2645,127955,3179,46849,22529,5635,23030,4875,25594,8084,128160,86824,41336,61640,11083,14101,4235,17452,12634,13101,2433,8004,12211,15892,30501,"06","Buenos Aires","06410","Ituzaingó",177983,62587,-34.63606,-58.688759,38.024315437749
"06412",326527,100454,18370,11227,42316,28541,226073,63892,108218,35855,18108,167300,49417,9065,5556,20662,14134,117883,32417,55500,19268,10698,159227,51037,9305,5671,21654,14407,108190,31475,52718,16587,7410,4048,164783,9353,152391,23595,5030,24264,14750,28491,31003,195070,99580,95490,83820,9372,6388,10247,41045,25946,28119,6977,27467,25924,40154,65263,"06","Buenos Aires","06412","José C. Paz",326527,98119,-34.511874,-58.777722,50.124553322753
"06427",1837168,534500,97926,59108,225872,151594,1302668,343412,624669,211163,123424,952170,265077,48621,29147,111860,75449,687093,176127,323780,113169,74017,884998,269423,49305,29961,114012,76145,615575,167285,300889,97994,49407,30223,936082,54703,846383,156608,36317,160515,66325,184047,146514,1156154,650810,505344,531220,65319,54271,54930,218043,137095,149039,34606,125448,135092,198634,346353,"06","Buenos Aires","06427","La Matanza",1837168,576586,-34.770051,-58.625251,327.46779485402
"06434",460081,105706,16985,11148,44506,33067,354375,76663,159080,69798,48834,242122,51959,8331,5421,21964,16243,190163,38939,82545,38263,30416,217959,53747,8654,5727,22542,16824,164212,37724,76535,31535,18418,6843,319009,11853,129219,61926,17238,63523,14123,70028,28197,326178,205208,120970,150210,27393,27605,10770,43478,30874,32542,7464,24027,30850,42326,77518,"06","Buenos Aires","06434","Lanús",460081,167953,-34.705594,-58.39473,50.248477384633
"06490",685644,182223,31236,19589,76967,54431,503421,121906,234144,89471,57900,356111,89341,15377,9586,37550,26828,266770,61523,121518,48278,35451,329533,92882,15859,10003,39417,27603,236651,60383,112626,41193,22449,11377,405869,19132,260643,72439,18134,74224,25965,83848,52978,450443,274976,175467,203048,32583,39345,18650,74960,50140,53605,13421,43090,50586,71242,124000,"06","Buenos Aires","06490","Lomas de Zamora",685644,234615,-34.754934,-58.423996,88.514034591407
"06515",349401,95372,15961,9982,40319,29110,254029,67433,118627,43684,24285,179550,47170,7972,4988,20006,14204,132380,33718,61042,23141,14479,169851,48202,7989,4994,20313,14906,121649,33715,57585,20543,9806,4138,199426,8558,141417,31135,7270,32076,14436,36602,27872,226157,124339,101818,102551,11758,10030,9424,39351,26987,28649,6660,24829,26952,39652,68840,"06","Buenos Aires","06515","Malvinas Argentinas",349401,107589,-34.487284,-58.712153,63.085247303216
"06539",581484,169539,29464,18543,71541,49991,411945,110700,193656,69600,37989,299398,83596,14595,9163,35247,24591,215802,55837,99611,37420,22934,282086,85943,14869,9380,36294,25400,196143,54863,94045,32180,15055,7813,298071,13115,270298,49711,11203,51018,25274,58219,45846,366099,190212,175887,154550,21832,13830,17457,69988,46337,49348,12897,46185,47152,69731,113806,"06","Buenos Aires","06539","Merlo",581484,182654,-34.710933,-58.741867,173.95207276872
"06560",575758,177815,31384,19407,76357,50667,397943,112178,194203,62104,29458,294448,87349,15378,9548,37375,25048,207099,56986,100032,32772,17309,281310,90466,16006,9859,38982,25619,190844,55192,94171,29332,12149,8277,271164,15333,289261,37948,7557,38967,27379,46713,49446,348497,188233,160264,154188,18974,15071,17950,74436,46670,49930,12499,46971,46468,69793,114483,"06","Buenos Aires","06560","Moreno",575758,181244,-34.610656,-58.810933,185.83060774171
"06568",329517,68961,10865,7179,28780,22137,260556,53147,115133,52497,39779,173315,33836,5264,3532,14094,10946,139479,26547,59501,28765,24666,156202,35125,5601,3647,14686,11191,121077,26600,55632,23732,15113,5158,250260,5343,73914,50039,13318,51159,7727,55926,14077,246479,175447,71032,118671,23604,33172,7033,28350,21003,21758,4104,12732,20253,26092,52784,"06","Buenos Aires","06568","Morón",329517,128619,-34.649161,-58.619864,55.317738207161
"06658",631774,168580,28939,18414,70881,50346,463194,113798,212808,83821,52767,328275,83145,14244,9126,34815,24960,245130,57488,109954,45351,32337,303499,85435,14695,9288,36066,25386,218064,56310,102854,38470,20430,9932,389244,16534,225996,67465,17311,69210,23097,77467,45766,417428,252075,165353,186604,31467,34004,17549,69186,46885,49647,12664,41192,47654,67483,115972,"06","Buenos Aires","06658","Quilmes",631774,214681,-34.734948,-58.276674,92.020819577764
"06749",171099,42201,6985,4513,17900,12803,128898,30922,58674,24037,15265,89489,21061,3493,2296,8835,6437,68428,15470,30427,13092,9439,81610,21140,3492,2217,9065,6366,60470,15452,28247,10945,5826,3091,113605,4582,52912,19194,4923,19676,5578,22213,10912,117986,76065,41921,54061,9942,12062,4366,17457,11901,12591,2632,9450,11721,16444,30660,"06","Buenos Aires","06749","San Fernando",171099,60344,-34.151621,-58.545934,995.69222060621
"06756",295978,64106,10574,6483,26323,20726,231872,46761,98078,49053,37980,156763,31474,5172,3219,12902,10181,125289,23335,51950,26764,23240,139215,32632,5402,3264,13421,10545,106583,23426,46128,22289,14740,5592,232490,6328,57160,46436,11585,47430,5921,52769,11856,220016,169313,50703,96694,24236,48383,6317,25737,19502,20356,3469,10439,18633,23893,49047,"06","Buenos Aires","06756","San Isidro",295978,110559,-34.486968,-58.537441,52.283810555856
"06760",327650,87315,15185,9567,37035,25528,240335,63253,111699,41403,23980,169340,42833,7364,4706,18247,12516,126507,32000,57359,22590,14558,158310,44482,7821,4861,18788,13012,113828,31253,54340,18813,9422,5042,202598,8127,116925,30875,7083,31741,11275,35950,23591,216744,136176,80568,100753,16669,18754,9084,36206,23824,25143,5907,21220,23667,34006,61718,"06","Buenos Aires","06760","San Miguel",327650,109322,-34.552324,-58.691515,83.707208454623
"06805",446291,122457,20040,12571,51961,37885,323834,80855,156218,56104,30657,229776,59965,9807,6196,25493,18469,169811,40885,81476,29340,18110,216515,62492,10233,6375,26468,19416,154023,39970,74742,26764,12547,7920,295839,11389,139063,39074,9161,40139,14720,45964,27823,296011,188224,107787,129293,22481,36450,12106,50701,35131,37275,7622,27463,34042,47966,85553,"06","Buenos Aires","06805","Tigre",446291,147150,-34.381707,-58.598898,397.10436659351
"06840",362319,79678,12779,8387,33616,24896,282641,60965,126729,55513,39434,190090,39148,6318,4057,16475,12298,150942,30643,65406,30500,24393,172229,40530,6461,4330,17141,12598,131699,30322,61323,25013,15041,6077,256381,7398,98540,50398,13351,51463,10156,56432,19089,263552,173292,90260,125283,23562,24447,8137,32894,23421,24485,5745,17342,23450,31258,60076,"06","Buenos Aires","06840","Tres de Febrero",362319,136658,-34.596301,-58.578757,45.704397740527
"06861",280541,55166,9131,5762,22610,17663,225375,39771,98769,47546,39289,149510,27188,4545,2839,11118,8686,122322,19902,52037,26160,24223,131031,27978,4586,2923,11492,8977,103053,19869,46732,21386,15066,5557,238072,4493,37976,47712,12051,48744,4091,53565,9958,215417,175745,39672,96134,26163,53448,5612,22036,16597,17317,2553,6967,15532,19036,41177,"06","Buenos Aires","06861","Vicente López",280541,114743,-34.526803,-58.504436,34.808812968989
